<<<<<<< HEAD
Feature no.,Domain,Industry,Sub-domain,Description,Priority,Mandatory,Open-source providers,Comm. providers
348,Industry-Specific AI Applications,Environmental & Climate,Renewables site optimization,"Deploy an AI capability for renewables site optimization in environmental & climate workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Airflow, FAISS, Seldon, LangChain, dbt","DataRobot, Google Cloud, OpenAI, Oracle, Confluent"
349,Industry-Specific AI Applications,Environmental & Climate,Biodiversity monitoring,"Deploy an AI capability for biodiversity monitoring in environmental & climate workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Trino, KServe, Ray, dbt, Seldon","Scale AI, IBM watsonx, Elastic, UiPath, Oracle"
350,Industry-Specific AI Applications,Environmental & Climate,Sustainability scenario simulation,"Deploy an AI capability for sustainability scenario simulation in environmental & climate workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Weaviate, Hugging Face Transformers, Airflow, Kubeflow, Trino","Microsoft Azure, MongoDB Atlas, Anthropic, Cohere, UiPath"
351,AI Marketplace & Ecosystem,Cross-industry,Model catalog & discovery,"Provide marketplace capability: Model catalog & discovery. It should support multi-tenant governance, clear ownership and licensing, dependable operations, and APIs/SDKs so both enterprises and developers can adopt it without bespoke integrations. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"dbt, Grafana, Kafka, Seldon, Haystack, LlamaIndex","Zendesk, Pinecone, Microsoft Azure, Cloudflare, Palantir, Confluent"
352,AI Marketplace & Ecosystem,Cross-industry,API metering & billing,"Provide marketplace capability: API metering & billing. It should support multi-tenant governance, clear ownership and licensing, dependable operations, and APIs/SDKs so both enterprises and developers can adopt it without bespoke integrations. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"scikit-learn, Milvus, Airflow, LlamaIndex, TensorFlow, Ray","Google Cloud, AWS, IBM watsonx, Palantir, MongoDB Atlas, Confluent"
353,AI Marketplace & Ecosystem,Cross-industry,Provider onboarding,"Provide marketplace capability: Provider onboarding. It should support multi-tenant governance, clear ownership and licensing, dependable operations, and APIs/SDKs so both enterprises and developers can adopt it without bespoke integrations. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"FAISS, Milvus, Kafka, dbt, Grafana, LangChain","SAP, Pinecone, Snowflake, Confluent, MongoDB Atlas, Oracle"
354,AI Marketplace & Ecosystem,Cross-industry,Licensing & terms management,"Provide marketplace capability: Licensing & terms management. It should support multi-tenant governance, clear ownership and licensing, dependable operations, and APIs/SDKs so both enterprises and developers can adopt it without bespoke integrations. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Hugging Face Transformers, Prometheus, Kafka, MLflow, LangChain, TensorFlow","Elastic, DataRobot, SAP, AWS, Cloudflare, Google Cloud"
355,AI Marketplace & Ecosystem,Cross-industry,Evaluation marketplace,"Provide marketplace capability: Evaluation marketplace. It should support multi-tenant governance, clear ownership and licensing, dependable operations, and APIs/SDKs so both enterprises and developers can adopt it without bespoke integrations. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Grafana, Qdrant, PostgreSQL, scikit-learn, Airflow, LangChain","Twilio, DataRobot, Elastic, Salesforce, Pinecone, OpenAI"
356,AI Marketplace & Ecosystem,Cross-industry,Fine-tuning marketplace,"Provide marketplace capability: Fine-tuning marketplace. It should support multi-tenant governance, clear ownership and licensing, dependable operations, and APIs/SDKs so both enterprises and developers can adopt it without bespoke integrations. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Rasa, PyTorch, LangChain, Feast, Grafana, Weaviate","Elastic, Oracle, SAP, Databricks, IBM watsonx, Microsoft Azure"
357,AI Marketplace & Ecosystem,Cross-industry,Prompt & asset store,"Provide marketplace capability: Prompt & asset store. It should support multi-tenant governance, clear ownership and licensing, dependable operations, and APIs/SDKs so both enterprises and developers can adopt it without bespoke integrations. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Prometheus, LlamaIndex, Qdrant, Airflow, spaCy, OpenTelemetry","Oracle, Databricks, Palantir, Zendesk, Salesforce, Twilio"
358,AI Marketplace & Ecosystem,Cross-industry,Tool/plugin registry,"Provide marketplace capability: Tool/plugin registry. It should support multi-tenant governance, clear ownership and licensing, dependable operations, and APIs/SDKs so both enterprises and developers can adopt it without bespoke integrations. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"FAISS, Great Expectations, Rasa, PostgreSQL, Trino, Hugging Face Transformers","Palantir, Twilio, DataRobot, Pinecone, UiPath, Zendesk"
